	venue	innings	ball	batting_team	bowling_team	batsmen	bowlers	runs
724	Shaheed Veer Narayan Singh International Stadium	1	5.6	Kolkata Knight Riders	Delhi Daredevils	"MS Bisla,YK Pathan,JH Kallis"	"IK Pathan,M Morkel,UT Yadav,A Nehra"	37
725	Shaheed Veer Narayan Singh International Stadium	2	5.6	Delhi Daredevils	Kolkata Knight Riders	"UBT Chand,DPMD Jayawardene,V Sehwag,DA Warner"	"B Lee,SP Narine,L Balaji,JH Kallis"	34
726	Rajiv Gandhi International Stadium	1	5.6	Mumbai Indians	Sunrisers Hyderabad	"DR Smith,RG Sharma,KD Karthik,SR Tendulkar"	"KV Sharma,NLTC Perera,I Sharma,DW Steyn"	41
727	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Mumbai Indians	"PA Reddy,S Dhawan,KC Sangakkara"	"Harbhajan Singh,DS Kulkarni,MG Johnson,SL Malinga"	36
728	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Kings XI Punjab	"SK Raina,MEK Hussey,WP Saha"	"P Awana,P Kumar,DJ Hussey"	36
729	MA Chidambaram Stadium	2	5.6	Kings XI Punjab	Chennai Super Kings	"Mandeep Singh,LA Pomersbach,SE Marsh"	"JA Morkel,MM Sharma"	36
73	Feroz Shah Kotla	2	5.6	Deccan Chargers	Delhi Daredevils	"Shahid Afridi,HH Gibbs,AC Gilchrist"	"GD McGrath,Mohammad Asif,MF Maharoof"	71
730	Subrata Roy Sahara Stadium	1	5.6	Royal Challengers Bangalore	Pune Warriors	"CH Gayle,SS Tiwary"	"TL Suman,AD Mathews,BAW Mendis,B Kumar"	30
731	Subrata Roy Sahara Stadium	2	5.6	Pune Warriors	Royal Challengers Bangalore	"AJ Finch,TL Suman,RV Uthappa"	"RP Singh,MC Henriques,R Vinay Kumar,M Kartik"	39
732	Eden Gardens	1	5.8	Rajasthan Royals	Kolkata Knight Riders	"JP Faulkner,SR Watson,AM Rahane,SV Samson"	"SMSM Senanayake,S Narwal,Iqbal Abdulla"	34
733	Eden Gardens	2	5.7	Kolkata Knight Riders	Rajasthan Royals	"MS Bisla,G Gambhir,JH Kallis"	"JP Faulkner,AA Chavan,SR Watson"	48
734	Rajiv Gandhi International Stadium	1	5.6	Delhi Daredevils	Sunrisers Hyderabad	"UBT Chand,DPMD Jayawardene,V Sehwag"	"NLTC Perera,I Sharma,DW Steyn"	26
735	Rajiv Gandhi International Stadium	2	5.7	Sunrisers Hyderabad	Delhi Daredevils	"PA Patel,A Ashish Reddy,S Dhawan"	"IK Pathan,J Botha,UT Yadav,A Nehra"	41
736	Wankhede Stadium	1	5.6	Mumbai Indians	Chennai Super Kings	"DR Smith,SR Tendulkar"	"RA Jadeja,CH Morris,MM Sharma"	32
737	Wankhede Stadium	2	5.7	Chennai Super Kings	Mumbai Indians	"SK Raina,R Ashwin,S Badrinath,DJ Bravo,M Vijay,MEK Hussey"	"Harbhajan Singh,MG Johnson,P Suyal"	32
738	Sawai Mansingh Stadium	1	5.7	Pune Warriors	Rajasthan Royals	"AJ Finch,RV Uthappa"	"A Chandila,SR Watson,KK Cooper,JP Faulkner"	61
739	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Pune Warriors	"R Dravid,AM Rahane"	"WD Parnell,B Kumar,K Upadhyay"	53
74	Wankhede Stadium	1	5.7	Kolkata Knight Riders	Mumbai Indians	"Salman Butt,DJ Hussey,Mohammad Hafeez,A Chopra,SC Ganguly"	"SM Pollock,DJ Bravo,A Nehra"	27
740	Punjab Cricket Association IS Bindra Stadium	1	5.6	Royal Challengers Bangalore	Kings XI Punjab	"CA Pujara,CH Gayle"	"P Awana,P Kumar,MS Gony,MG Neser"	58
741	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Royal Challengers Bangalore	"Gurkeerat Singh,Mandeep Singh,DJ Hussey,SE Marsh"	"RP Singh,MC Henriques,R Vinay Kumar,R Rampaul"	41
742	Sawai Mansingh Stadium	1	5.6	Delhi Daredevils	Rajasthan Royals	"DA Warner,DPMD Jayawardene,V Sehwag,CM Gautam"	"SW Tait,STR Binny,SR Watson,JP Faulkner"	42
743	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Delhi Daredevils	"R Dravid,AM Rahane"	"S Kaul,AB Agarkar,M Morkel,UT Yadav"	49
744	Wankhede Stadium	1	5.6	Mumbai Indians	Kolkata Knight Riders	"DR Smith,SR Tendulkar"	"SP Narine,L Balaji,R McLaren"	41
745	Wankhede Stadium	2	5.6	Kolkata Knight Riders	Mumbai Indians	"MS Bisla,G Gambhir,JH Kallis"	"PP Ojha,MG Johnson,AN Ahmed,SL Malinga"	38
746	Rajiv Gandhi International Stadium	1	5.6	Chennai Super Kings	Sunrisers Hyderabad	"SK Raina,M Vijay,MEK Hussey"	"NLTC Perera,I Sharma,DW Steyn"	50
747	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Chennai Super Kings	"PA Patel,GH Vihari,S Dhawan,KC Sangakkara"	"JO Holder,R Ashwin,MM Sharma"	49
748	Punjab Cricket Association IS Bindra Stadium	1	5.6	Kings XI Punjab	Rajasthan Royals	"Mandeep Singh,AC Gilchrist,SE Marsh"	"A Chandila,S Sreesanth,JP Faulkner"	37
749	Punjab Cricket Association IS Bindra Stadium	2	5.6	Rajasthan Royals	Kings XI Punjab	"SR Watson,R Dravid,AM Rahane"	"P Awana,P Kumar,Bipul Sharma,PP Chawla"	38
75	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Royal Challengers Bangalore	"SA Asnodkar,GC Smith"	"Z Khan,P Kumar,JH Kallis"	51
750	Subrata Roy Sahara Stadium	1	5.6	Kolkata Knight Riders	Pune Warriors	"MS Bisla,G Gambhir,JH Kallis"	"Parvez Rasool,WD Parnell,B Kumar,K Upadhyay"	50
751	Subrata Roy Sahara Stadium	2	5.6	Pune Warriors	Kolkata Knight Riders	"AJ Finch,Yuvraj Singh,RV Uthappa,UA Birla"	"Iqbal Abdulla,SP Narine,L Balaji,JH Kallis"	34
752	Feroz Shah Kotla	1	5.6	Royal Challengers Bangalore	Delhi Daredevils	"CA Pujara,CH Gayle,MC Henriques,V Kohli"	"S Kaul,IK Pathan,M Morkel,UT Yadav"	40
753	Feroz Shah Kotla	2	5.6	Delhi Daredevils	Royal Challengers Bangalore	"UBT Chand,DPMD Jayawardene,V Sehwag,DA Warner"	"MC Henriques,R Vinay Kumar,JD Unadkat,R Rampaul"	49
754	Subrata Roy Sahara Stadium	1	5.6	Pune Warriors	Mumbai Indians	"AJ Finch,MK Pandey,RV Uthappa,Yuvraj Singh"	"MG Johnson,AN Ahmed,SL Malinga"	36
755	Subrata Roy Sahara Stadium	2	5.6	Mumbai Indians	Pune Warriors	"DR Smith,RG Sharma,KD Karthik,SR Tendulkar"	"KW Richardson,AB Dinda,B Kumar,BAW Mendis"	37
756	Punjab Cricket Association IS Bindra Stadium	1	5.6	Sunrisers Hyderabad	Kings XI Punjab	"PA Patel,GH Vihari,S Dhawan,CL White"	"P Awana,Harmeet Singh,P Kumar,Sandeep Sharma"	37
757	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Sunrisers Hyderabad	"Mandeep Singh,AC Gilchrist,SE Marsh"	"NLTC Perera,I Sharma,DW Steyn"	41
758	Sawai Mansingh Stadium	1	5.7	Chennai Super Kings	Rajasthan Royals	"M Vijay,MEK Hussey"	"JP Faulkner,VS Malik,SR Watson"	37
759	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Chennai Super Kings	"JP Faulkner,R Dravid,AM Rahane,SV Samson,SR Watson"	"JO Holder,MM Sharma"	24
76	Sawai Mansingh Stadium	2	5.6	Royal Challengers Bangalore	Rajasthan Royals	"V Kohli,J Arunkumar,JH Kallis,Misbah-ul-Haq,CL White"	"MM Patel,Sohail Tanvir"	23
760	JSCA International Stadium Complex	1	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"CA Pujara,CH Gayle,V Kohli"	"SMSM Senanayake,L Balaji,SP Narine"	22
761	JSCA International Stadium Complex	2	5.7	Kolkata Knight Riders	Royal Challengers Bangalore	"YK Pathan,MS Bisla,G Gambhir,JH Kallis"	"R Vinay Kumar,A Mithun,JD Unadkat,R Rampaul"	31
762	Wankhede Stadium	1	5.7	Sunrisers Hyderabad	Mumbai Indians	"PA Patel,GH Vihari,S Dhawan"	"Harbhajan Singh,DS Kulkarni,MG Johnson,SL Malinga"	52
763	Wankhede Stadium	2	5.6	Mumbai Indians	Sunrisers Hyderabad	"DR Smith,KD Karthik,SR Tendulkar"	"NLTC Perera,I Sharma,DW Steyn"	39
764	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Kings XI Punjab	"CA Pujara,CH Gayle,V Kohli"	"P Awana,Sandeep Sharma,Azhar Mahmood"	31
765	M Chinnaswamy Stadium	2	5.6	Kings XI Punjab	Royal Challengers Bangalore	"Azhar Mahmood,AC Gilchrist,SE Marsh"	"Z Khan,MC Henriques,JD Unadkat"	46
766	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"M Vijay,MEK Hussey"	"IK Pathan,UT Yadav,A Nehra,S Kaul,J Botha"	47
767	MA Chidambaram Stadium	2	5.6	Delhi Daredevils	Chennai Super Kings	"UBT Chand,J Botha,V Sehwag,DA Warner"	"JO Holder,MM Sharma"	49
768	Wankhede Stadium	1	5.7	Mumbai Indians	Rajasthan Royals	"KD Karthik,AP Tare,GJ Maxwell"	"JP Faulkner,AA Chavan,SR Watson"	49
769	Wankhede Stadium	2	5.6	Rajasthan Royals	Mumbai Indians	"JP Faulkner,R Dravid,AM Rahane,SV Samson,SR Watson"	"DS Kulkarni,MG Johnson"	29
77	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Kings XI Punjab	"V Sehwag,G Gambhir"	"IK Pathan,S Sreesanth,VRV Singh"	68
770	JSCA International Stadium Complex	1	5.6	Pune Warriors	Kolkata Knight Riders	"AJ Finch,MK Pandey,RV Uthappa"	"SMSM Senanayake,L Balaji,SP Narine"	42
771	JSCA International Stadium Complex	2	5.6	Kolkata Knight Riders	Pune Warriors	"G Gambhir,MS Bisla,JH Kallis,RN ten Doeschate,YK Pathan"	"WD Parnell,AD Mathews,B Kumar,IC Pandey"	33
772	Himachal Pradesh Cricket Association Stadium	1	5.6	Kings XI Punjab	Delhi Daredevils	"AC Gilchrist,SE Marsh"	"S Kaul,IK Pathan,M Morkel,A Nehra"	53
773	Himachal Pradesh Cricket Association Stadium	2	5.6	Delhi Daredevils	Kings XI Punjab	"IK Pathan,V Sehwag,DA Warner,DPMD Jayawardene,UBT Chand"	"P Kumar,Azhar Mahmood,Sandeep Sharma"	21
774	Rajiv Gandhi International Stadium	1	5.6	Sunrisers Hyderabad	Rajasthan Royals	"BB Samantray,S Dhawan,PA Patel,GH Vihari,CL White"	"JP Faulkner,SR Watson,PV Tambe,BJ Hodge"	21
775	Rajiv Gandhi International Stadium	2	5.6	Rajasthan Royals	Sunrisers Hyderabad	"R Dravid,AM Rahane"	"KV Sharma,I Sharma,DW Steyn"	33
776	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Chennai Super Kings	"CH Gayle,V Kohli,AB de Villiers"	"CH Morris,JO Holder,R Ashwin,DJ Bravo"	76
777	M Chinnaswamy Stadium	2	5.6	Chennai Super Kings	Royal Challengers Bangalore	"SK Raina,DJ Bravo,MS Dhoni,M Vijay,MEK Hussey"	"R Vinay Kumar,Z Khan,JD Unadkat,R Rampaul,RP Singh"	56
778	Himachal Pradesh Cricket Association Stadium	1	5.6	Kings XI Punjab	Mumbai Indians	"Mandeep Singh,AC Gilchrist,SE Marsh,Azhar Mahmood"	"NM Coulter-Nile,DS Kulkarni,R Dhawan,RG Sharma"	35
779	Himachal Pradesh Cricket Association Stadium	2	5.6	Mumbai Indians	Kings XI Punjab	"RG Sharma,AP Tare,AT Rayudu,GJ Maxwell"	"P Kumar,Azhar Mahmood,Sandeep Sharma"	51
78	Feroz Shah Kotla	2	5.6	Kings XI Punjab	Delhi Daredevils	"LA Pomersbach,Yuvraj Singh,SE Marsh,JR Hopes,DPMD Jayawardene"	"GD McGrath,PJ Sangwan,A Mishra,V Sehwag"	73
780	Subrata Roy Sahara Stadium	1	5.7	Pune Warriors	Delhi Daredevils	"AJ Finch,MK Pandey,RV Uthappa"	"S Kaul,IK Pathan,M Morkel,UT Yadav"	40
781	Subrata Roy Sahara Stadium	2	5.6	Delhi Daredevils	Pune Warriors	"B Chipli,DPMD Jayawardene,V Sehwag,DA Warner"	"AG Murtaza,WD Parnell,AB Dinda,B Kumar"	47
782	Rajiv Gandhi International Stadium	1	5.8	Kolkata Knight Riders	Sunrisers Hyderabad	"MS Bisla,G Gambhir,JH Kallis"	"NLTC Perera,DW Steyn,Anand Rajan"	33
783	Rajiv Gandhi International Stadium	2	5.6	Sunrisers Hyderabad	Kolkata Knight Riders	"PA Patel,S Dhawan"	"PJ Sangwan,YK Pathan,SP Narine"	45
784	Feroz Shah Kotla	1	5.6	Chennai Super Kings	Mumbai Indians	"M Vijay,MEK Hussey"	"Harbhajan Singh,MM Patel,MG Johnson,SL Malinga"	47
785	Feroz Shah Kotla	2	5.6	Mumbai Indians	Chennai Super Kings	"DR Smith,KD Karthik,AP Tare"	"JA Morkel,MM Sharma"	56
786	Feroz Shah Kotla	1	5.6	Sunrisers Hyderabad	Rajasthan Royals	"PA Patel,GH Vihari,S Dhawan,CL White"	"JP Faulkner,VS Malik,SR Watson"	27
787	Feroz Shah Kotla	2	5.6	Rajasthan Royals	Sunrisers Hyderabad	"SR Watson,R Dravid,AM Rahane"	"NLTC Perera,I Sharma,DW Steyn"	44
788	Eden Gardens	1	5.6	Rajasthan Royals	Mumbai Indians	"R Dravid,AM Rahane"	"PP Ojha,MG Johnson,R Dhawan"	42
789	Eden Gardens	2	5.6	Mumbai Indians	Rajasthan Royals	"DR Smith,AP Tare"	"JP Faulkner,VS Malik,SR Watson"	45
79	Rajiv Gandhi International Stadium	1	5.6	Mumbai Indians	Deccan Chargers	"ST Jayasuriya,SR Tendulkar,DJ Thornely"	"RP Singh,Y Venugopal Rao,DNT Zoysa,DP Vijaykumar"	57
790	Eden Gardens	1	5.6	Mumbai Indians	Chennai Super Kings	"KD Karthik,AT Rayudu,DR Smith,AP Tare,RG Sharma"	"JA Morkel,MM Sharma"	34
791	Eden Gardens	2	5.6	Chennai Super Kings	Mumbai Indians	"SK Raina,S Badrinath,DJ Bravo,M Vijay,MEK Hussey"	"PP Ojha,MG Johnson,R Dhawan,SL Malinga"	35
792	Sheikh Zayed Stadium	1	5.6	Kolkata Knight Riders	Mumbai Indians	"MK Pandey,G Gambhir,JH Kallis"	"Z Khan,PP Ojha,CJ Anderson,SL Malinga"	31
793	Sheikh Zayed Stadium	2	5.6	Mumbai Indians	Kolkata Knight Riders	"MEK Hussey,AP Tare,AT Rayudu"	"Shakib Al Hasan,R Vinay Kumar,M Morkel,SP Narine"	32
794	Sharjah Cricket Stadium	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"KD Karthik,JP Duminy,MA Agarwal,M Vijay,MK Tiwary"	"JA Morkel,MA Starc,VR Aaron"	30
795	Sharjah Cricket Stadium	2	5.6	Royal Challengers Bangalore	Delhi Daredevils	"PA Patel,NJ Maddinson,V Kohli"	"Mohammed Shami,WD Parnell,JP Duminy,S Nadeem"	50
796	Sheikh Zayed Stadium	1	5.6	Chennai Super Kings	Kings XI Punjab	"DR Smith,BB McCullum"	"AR Patel,MG Johnson,P Awana,L Balaji"	70
797	Sheikh Zayed Stadium	2	5.8	Kings XI Punjab	Chennai Super Kings	"V Sehwag,AR Patel,GJ Maxwell,CA Pujara,DA Miller"	"R Ashwin,A Nehra,MM Sharma"	64
798	Sheikh Zayed Stadium	1	5.6	Sunrisers Hyderabad	Rajasthan Royals	"AJ Finch,S Dhawan,DA Warner"	"DS Kulkarni,KW Richardson,JP Faulkner"	41
799	Sheikh Zayed Stadium	2	5.6	Rajasthan Royals	Sunrisers Hyderabad	"AM Rahane,SR Watson,AM Nayar,SV Samson"	"I Sharma,B Kumar,DW Steyn"	30
8	Wankhede Stadium	1	5.6	Mumbai Indians	Royal Challengers Bangalore	"ST Jayasuriya,PR Shah,L Ronchi,RV Uthappa,DJ Thornely"	"Z Khan,P Kumar,JH Kallis"	47
80	Rajiv Gandhi International Stadium	2	5.7	Deccan Chargers	Mumbai Indians	"Y Venugopal Rao,AC Gilchrist,LPC Silva,Shahid Afridi,RG Sharma"	"CRD Fernando,RR Raje,DJ Bravo,A Nehra"	32
800	Dubai International Cricket Stadium	1	5.6	Kolkata Knight Riders	Delhi Daredevils	"MK Pandey,RV Uthappa,G Gambhir,JH Kallis"	"Mohammed Shami,NM Coulter-Nile,JD Unadkat"	31
801	Dubai International Cricket Stadium	2	5.6	Delhi Daredevils	Kolkata Knight Riders	"MA Agarwal,KD Karthik,M Vijay,LRPL Taylor"	"Shakib Al Hasan,R Vinay Kumar,M Morkel"	49
802	Dubai International Cricket Stadium	1	5.7	Mumbai Indians	Royal Challengers Bangalore	"MEK Hussey,AP Tare,AT Rayudu"	"JA Morkel,MA Starc,VR Aaron"	49
803	Dubai International Cricket Stadium	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"V Kohli,PA Patel,Yuvraj Singh,NJ Maddinson,AB de Villiers"	"Harbhajan Singh,Z Khan,SL Malinga"	30
804	Sharjah Cricket Stadium	1	5.7	Rajasthan Royals	Kings XI Punjab	"AM Nayar,AM Rahane,SV Samson"	"AR Patel,MG Johnson,P Awana,L Balaji"	54
805	Sharjah Cricket Stadium	2	5.6	Kings XI Punjab	Rajasthan Royals	"CA Pujara,GJ Maxwell,V Sehwag,WP Saha"	"DS Kulkarni,KW Richardson,PV Tambe,JP Faulkner"	39
806	Sheikh Zayed Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"DR Smith,SK Raina,BB McCullum"	"Mohammed Shami,JP Duminy,S Nadeem,JD Unadkat"	34
807	Sheikh Zayed Stadium	2	5.6	Delhi Daredevils	Chennai Super Kings	"KD Karthik,JP Duminy,MA Agarwal,M Vijay,MK Tiwary"	"BW Hilfenhaus,IC Pandey,MM Sharma"	24
808	Sharjah Cricket Stadium	1	5.6	Kings XI Punjab	Sunrisers Hyderabad	"CA Pujara,V Sehwag"	"KV Sharma,IK Pathan,B Kumar,DW Steyn"	43
809	Sharjah Cricket Stadium	2	5.6	Sunrisers Hyderabad	Kings XI Punjab	"AJ Finch,Y Venugopal Rao,S Dhawan,DA Warner,KL Rahul"	"MG Johnson,Sandeep Sharma,R Dhawan,L Balaji"	45
81	Eden Gardens	1	5.6	Kolkata Knight Riders	Chennai Super Kings	"SC Ganguly,Mohammad Hafeez,Salman Butt,DB Das"	"M Ntini,MS Gony"	35
810	Dubai International Cricket Stadium	1	5.7	Chennai Super Kings	Rajasthan Royals	"DR Smith,BB McCullum"	"DS Kulkarni,TG Southee,JP Faulkner"	51
811	Dubai International Cricket Stadium	2	5.6	Rajasthan Royals	Chennai Super Kings	"SR Watson,AM Nayar,AM Rahane,SV Samson"	"R Ashwin,BW Hilfenhaus,IC Pandey"	38
812	Sharjah Cricket Stadium	1	5.6	Kolkata Knight Riders	Royal Challengers Bangalore	"MK Pandey,CA Lynn,G Gambhir,JH Kallis"	"JA Morkel,MA Starc,VR Aaron"	42
813	Sharjah Cricket Stadium	2	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"PA Patel,YV Takawale"	"M Morkel,UT Yadav,SP Narine"	49
814	Dubai International Cricket Stadium	1	5.6	Mumbai Indians	Chennai Super Kings	"MEK Hussey,AP Tare,RG Sharma,CJ Anderson"	"R Ashwin,BW Hilfenhaus,IC Pandey,MM Sharma"	31
815	Dubai International Cricket Stadium	2	5.6	Chennai Super Kings	Mumbai Indians	"DR Smith,BB McCullum"	"PP Ojha,Z Khan,CJ Anderson,SL Malinga"	51
816	Dubai International Cricket Stadium	1	5.6	Sunrisers Hyderabad	Delhi Daredevils	"AJ Finch,S Dhawan"	"Mohammed Shami,WD Parnell,S Nadeem,JD Unadkat"	55
817	Dubai International Cricket Stadium	2	5.7	Delhi Daredevils	Sunrisers Hyderabad	"M Vijay,Q de Kock"	"KV Sharma,Y Venugopal Rao,B Kumar,DW Steyn"	44
818	Sheikh Zayed Stadium	1	5.6	Kings XI Punjab	Kolkata Knight Riders	"CA Pujara,GJ Maxwell,V Sehwag,WP Saha"	"SP Narine,M Morkel,UT Yadav,JH Kallis"	51
819	Sheikh Zayed Stadium	2	5.6	Kolkata Knight Riders	Kings XI Punjab	"MK Pandey,G Gambhir,CA Lynn,RV Uthappa,JH Kallis"	"MG Johnson,Sandeep Sharma,L Balaji"	24
82	Eden Gardens	2	5.6	Chennai Super Kings	Kolkata Knight Riders	"PA Patel,SP Fleming"	"AB Agarkar,AB Dinda,I Sharma,Shoaib Akhtar"	43
820	Sheikh Zayed Stadium	1	5.7	Royal Challengers Bangalore	Rajasthan Royals	"JA Morkel,V Kohli,PA Patel,Yuvraj Singh,S Rana,YV Takawale,AB de Villiers"	"KW Richardson,STR Binny,TG Southee,SR Watson"	22
821	Sheikh Zayed Stadium	2	5.7	Rajasthan Royals	Royal Challengers Bangalore	"AM Nayar,KK Nair,AM Rahane,SV Samson"	"MA Starc,R Rampaul"	36
822	Sharjah Cricket Stadium	1	5.6	Mumbai Indians	Delhi Daredevils	"AT Rayudu,AP Tare,RG Sharma,CJ Anderson"	"Mohammed Shami,WD Parnell,JP Duminy,S Nadeem"	37
823	Sharjah Cricket Stadium	2	5.6	Delhi Daredevils	Mumbai Indians	"M Vijay,Q de Kock"	"Harbhajan Singh,PP Ojha,Z Khan,SL Malinga"	31
824	Sharjah Cricket Stadium	1	5.6	Sunrisers Hyderabad	Chennai Super Kings	"AJ Finch,KL Rahul,S Dhawan,DA Warner"	"R Ashwin,BW Hilfenhaus,IC Pandey,MM Sharma"	37
825	Sharjah Cricket Stadium	2	5.6	Chennai Super Kings	Sunrisers Hyderabad	"DR Smith,BB McCullum"	"KV Sharma,B Kumar,DW Steyn"	47
826	Dubai International Cricket Stadium	1	5.6	Royal Challengers Bangalore	Kings XI Punjab	"V Kohli,PA Patel,Yuvraj Singh,YV Takawale,AB de Villiers,CH Gayle"	"MG Johnson,Sandeep Sharma,GJ Maxwell"	44
827	Dubai International Cricket Stadium	2	5.6	Kings XI Punjab	Royal Challengers Bangalore	"CA Pujara,V Sehwag,WP Saha"	"JA Morkel,MA Starc,AB Dinda,VR Aaron"	33
828	Sheikh Zayed Stadium	1	5.7	Rajasthan Royals	Kolkata Knight Riders	"KK Nair,AM Rahane,SV Samson"	"R Vinay Kumar,M Morkel,SP Narine"	45
829	Sheikh Zayed Stadium	2	5.7	Kolkata Knight Riders	Rajasthan Royals	"MS Bisla,G Gambhir,JH Kallis"	"JP Faulkner,Iqbal Abdulla,KW Richardson,STR Binny,SR Watson"	33
83	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Delhi Daredevils	"B Chipli,SP Goswami,JH Kallis"	"GD McGrath,PJ Sangwan,VY Mahesh"	41
830	Dubai International Cricket Stadium	1	5.6	Sunrisers Hyderabad	Mumbai Indians	"AJ Finch,KL Rahul,S Dhawan,DA Warner"	"Z Khan,PP Ojha,SL Malinga"	44
831	Dubai International Cricket Stadium	2	5.6	Mumbai Indians	Sunrisers Hyderabad	"KA Pollard,AT Rayudu,BR Dunk,RG Sharma,CJ Anderson"	"DJG Sammy,KV Sharma,B Kumar,DW Steyn"	32
832	JSCA International Stadium Complex	1	5.6	Chennai Super Kings	Kolkata Knight Riders	"DR Smith,SK Raina,BB McCullum"	"PP Chawla,Shakib Al Hasan,SP Narine"	43
833	JSCA International Stadium Complex	2	5.6	Kolkata Knight Riders	Chennai Super Kings	"MK Pandey,Shakib Al Hasan,G Gambhir,RV Uthappa,SA Yadav,JH Kallis"	"RA Jadeja,R Ashwin,IC Pandey,BW Hilfenhaus,MM Sharma"	39
834	Wankhede Stadium	1	5.6	Kings XI Punjab	Mumbai Indians	"CA Pujara,GJ Maxwell,V Sehwag,WP Saha"	"Z Khan,JJ Bumrah,SL Malinga,CJ Anderson"	36
835	Wankhede Stadium	2	5.7	Mumbai Indians	Kings XI Punjab	"RG Sharma,BR Dunk,AT Rayudu,CM Gautam"	"MG Johnson,Sandeep Sharma,L Balaji"	49
836	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Rajasthan Royals	"KP Pietersen,M Vijay,Q de Kock"	"JP Faulkner,DS Kulkarni,KW Richardson,PV Tambe,STR Binny,SR Watson"	46
837	Feroz Shah Kotla	2	5.6	Rajasthan Royals	Delhi Daredevils	"KK Nair,AM Rahane,SV Samson"	"Mohammed Shami,WD Parnell,S Nadeem,JD Unadkat"	38
838	M Chinnaswamy Stadium	1	5.7	Sunrisers Hyderabad	Royal Challengers Bangalore	"AJ Finch,KL Rahul,S Dhawan,DA Warner"	"VR Aaron,MA Starc,AB Dinda,HV Patel"	47
839	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Sunrisers Hyderabad	"PA Patel,CH Gayle,RR Rossouw,V Kohli"	"I Sharma,B Kumar,DW Steyn"	36
84	M Chinnaswamy Stadium	2	5.6	Delhi Daredevils	Royal Challengers Bangalore	"V Sehwag,G Gambhir"	"Z Khan,P Kumar,DW Steyn,JH Kallis"	71
840	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Chennai Super Kings	"KP Pietersen,KD Karthik,M Vijay,Q de Kock"	"BW Hilfenhaus,IC Pandey,MM Sharma"	46
841	Feroz Shah Kotla	2	5.6	Chennai Super Kings	Delhi Daredevils	"DR Smith,BB McCullum"	"Mohammed Shami,WD Parnell,S Nadeem,JD Unadkat"	49
842	Sardar Patel Stadium	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"KK Nair,AM Rahane"	"Shakib Al Hasan,R Vinay Kumar,UT Yadav,SP Narine"	50
843	Sardar Patel Stadium	2	5.6	Kolkata Knight Riders	Rajasthan Royals	"RV Uthappa,G Gambhir"	"JP Faulkner,TG Southee,SR Watson,PV Tambe"	50
844	Wankhede Stadium	1	5.6	Mumbai Indians	Royal Challengers Bangalore	"BR Dunk,AT Rayudu,CM Gautam"	"VR Aaron,MA Starc,AB Dinda,HV Patel"	50
845	Wankhede Stadium	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"PA Patel,CH Gayle,V Kohli"	"Harbhajan Singh,JJ Bumrah,P Suyal,SL Malinga"	64
846	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Kolkata Knight Riders	"KP Pietersen,KD Karthik,M Vijay,Q de Kock"	"Shakib Al Hasan,SA Yadav,UT Yadav,JH Kallis,SP Narine"	29
847	Feroz Shah Kotla	2	5.6	Kolkata Knight Riders	Delhi Daredevils	"RV Uthappa,G Gambhir"	"Mohammed Shami,WD Parnell,S Kaul,LR Shukla"	52
848	Barabati Stadium	1	5.6	Kings XI Punjab	Chennai Super Kings	"DA Miller,Mandeep Singh,V Sehwag,GJ Maxwell"	"BW Hilfenhaus,IC Pandey,MM Sharma"	38
849	Barabati Stadium	2	5.6	Chennai Super Kings	Kings XI Punjab	"DR Smith,SK Raina,BB McCullum"	"MG Johnson,Sandeep Sharma,M Kartik"	46
85	Eden Gardens	1	5.6	Kolkata Knight Riders	Rajasthan Royals	"SC Ganguly,Mohammad Hafeez,Salman Butt"	"MM Patel,Sohail Tanvir,SR Watson"	32
850	Sardar Patel Stadium	1	5.6	Sunrisers Hyderabad	Rajasthan Royals	"AJ Finch,KL Rahul,S Dhawan"	"DS Kulkarni,KW Richardson,SR Watson,JP Faulkner"	50
